Experiment,Particle,E1,pt1,eta1,phi1
5181,j,842281,418366,-1.32206,-1.26704
5182,j,633559,570037,-0.460227,-1.04172
5183,j,1.06427e+06,896641,-0.594609,0.936802
5184,j,1.8628e+06,704618,-1.62406,2.52834
5185,j,998940,471075,1.382,1.95353
5186,j,470484,451588,0.177997,-1.84255
5187,j,1.34462e+06,561243,1.5096,-2.03313
5188,j,1.76919e+06,1.3027e+06,0.790076,2.52475
5189,j,556310,546944,0.150684,0.761887
5190,j,721034,662775,-0.339812,1.35393
5191,j,242252,235379,-0.21554,-0.117476
5192,j,691711,541041,0.727113,2.24081
5193,j,303499,253300,-0.605834,1.47759
5194,j,945917,604079,0.998563,-2.5416
5195,j,469449,410062,-0.500307,2.98969
5196,j,615338,446681,-0.840211,-0.542856
5197,j,873845,764625,-0.499953,-2.36002
5198,j,822536,808037,0.178416,-1.95853
5199,j,770916,514531,-0.960198,-1.75114
5200,j,631616,622181,-0.132391,0.958392
5201,j,642390,334556,1.26063,-3.13323
5202,j,521184,482885,-0.378568,-2.74805
5203,j,1.02577e+06,492947,1.36058,2.09723
5204,j,648253,591707,-0.418372,-0.0360708
5205,j,382756,369041,0.0847866,-0.737425
5206,j,783755,738389,-0.32138,0.875242
5207,j,1.52368e+06,464051,-1.85638,-0.454163
5208,j,1.15234e+06,712146,-1.06094,0.443278
5209,j,813962,638584,-0.723007,-0.598681
5210,j,806265,499159,1.05419,-1.8674
5211,j,317773,312386,0.177628,-1.4586
5212,j,850473,474013,1.18493,-0.349319
5213,j,951591,630472,-0.9664,-2.47833
5214,j,555787,552568,-0.0677487,0.286729
5215,j,541249,514967,0.315812,-0.610259
5216,j,1.82498e+06,1.8124e+06,0.109818,-1.83724
5217,j,1.0071e+06,459073,1.42069,-3.11397
5218,j,597936,570274,-0.254674,1.62959
5219,j,295035,273220,-0.390737,-2.85201
5220,j,700817,565654,0.676503,0.267702
5221,j,1.39581e+06,1.38881e+06,0.00143879,-0.680069
5222,j,917139,701297,0.764053,-0.333308
5223,j,1.3877e+06,666612,-1.36215,2.18913
5224,j,588853,550274,-0.351227,-1.17882
5225,j,482978,452222,-0.348229,0.682957
5226,j,773876,442534,1.14266,2.21945
5227,j,763188,510623,0.95134,1.50434
5228,j,762958,753015,-0.151965,1.60788
5229,j,1.29565e+06,534269,-1.53242,-0.950673
5230,j,565684,553251,-0.205583,-0.962083
5231,j,1.54696e+06,343689,2.18393,-2.90933
5232,j,406148,399966,0.0896705,0.906411
5233,j,511834,461151,0.458923,2.50057
5234,j,353192,320343,-0.340502,-0.988023
5235,j,457537,387209,0.538598,1.86686
5236,j,793218,671517,-0.569049,0.225412
5237,j,377044,336054,0.385502,-2.61079
5238,j,752020,450675,1.07208,-1.60204
5239,j,508971,362415,0.870219,0.62153
5240,j,620437,525967,0.579963,-1.5324
5241,j,512071,508211,-0.0496626,0.613488
5242,j,1.06192e+06,319968,1.86611,-3.00112
5243,j,1.25404e+06,698333,1.18358,-1.59451
5244,j,610774,499981,0.643207,-2.45572
5245,j,771841,768623,-0.0375257,0.918099
5246,j,1.08973e+06,400612,-1.65787,1.0096
5247,j,434242,432376,0.0890871,-1.77701
5248,j,426106,305374,0.853769,-3.09893
5250,j,743672,691715,-0.28896,1.37375
5251,j,568257,498364,-0.487321,2.03283
5252,j,2.33362e+06,1.05205e+06,1.43196,-2.69333
5253,j,460371,386720,0.596534,-0.849882
5254,j,1.06581e+06,666157,1.04578,0.632279
5255,j,876347,797478,-0.417087,0.0127211
5256,j,650656,623591,0.117684,1.90982
5257,j,1.09795e+06,852249,0.735041,-2.56528
5258,j,594258,544301,0.409828,-1.47528
5259,j,1.36987e+06,1.145e+06,-0.614275,-1.32751
5260,j,442592,421073,-0.258943,2.8975
5261,j,1.37987e+06,1.05511e+06,0.764266,-0.973879
5263,j,592991,578045,0.203681,-1.57743
5264,j,438664,359483,-0.651388,1.09574
5265,j,335995,330564,-0.122274,-0.324971
5266,j,472533,470006,0.0334972,2.09027
5267,j,660420,324241,1.33632,1.83064
5268,j,1.07823e+06,222895,2.25819,2.83454
5269,j,312391,304476,-0.0169185,-1.39885
5270,j,318475,240317,0.764936,-1.21378
5272,j,268088,242067,-0.442702,-0.111692
5273,j,599566,549741,-0.380317,0.962247
5274,j,668387,667843,0.0230265,1.11081
5275,j,1.13542e+06,1.09585e+06,0.24083,-2.06347
5276,j,2.06052e+06,1.20211e+06,1.1323,0.873258
5277,j,627532,433305,0.913989,0.47722
5278,j,524046,504891,0.242326,-2.33652
5279,j,1.10947e+06,425968,1.60726,-0.321978
5280,j,623038,465204,-0.768319,0.339489
5281,j,267349,262065,-0.159598,0.117432
5282,j,882617,664046,0.774781,1.76484
5283,j,546202,448720,0.643307,-1.85204
5284,j,831431,352819,-1.50049,-1.67371
5285,j,704495,700881,0.0862857,1.63402
5286,j,856771,533422,-1.04385,-0.623707
5287,j,2.79024e+06,915575,-1.77818,-1.4908
5288,j,471463,441972,-0.321818,-0.654405
5290,j,631139,530678,-0.577769,1.08117
5291,j,827296,657502,-0.69556,-1.17666
5292,j,2.00144e+06,417031,2.2504,-2.5123
5293,j,1.23603e+06,973842,-0.714471,2.90207
5295,j,763462,412661,-1.22232,1.45812
5296,j,691397,665378,-0.265604,2.6851
5297,j,718763,459723,1.01588,2.14922
5298,j,1.04658e+06,487977,-1.39342,1.23405
5299,j,731732,716792,-0.185793,2.44935
5300,j,1.15222e+06,628632,1.21341,-2.78803
5301,j,3.03665e+06,516393,-2.45743,-1.91401
5302,j,1.14781e+06,363195,1.81529,0.995637
5303,j,1.10707e+06,836739,0.780268,3.07868
5304,j,981902,620333,-1.03176,2.16365
5305,j,844540,443879,-1.25757,-0.460728
5306,j,1.15531e+06,1.01722e+06,-0.514543,1.11689
5307,j,552712,409522,0.783529,0.870138
5308,j,745788,433795,-1.13478,0.17635
5309,j,1.03225e+06,440670,-1.49273,-2.40548
5310,j,897089,518710,-1.1427,0.0949057
5311,j,519737,477207,-0.327077,2.00583
5312,j,625450,602471,0.184823,-1.93521
5313,j,904467,834073,0.402154,1.78684
5314,j,1.78424e+06,690277,1.60085,-1.83381
5315,j,1.49835e+06,1.3041e+06,0.531765,-1.33315
5316,j,965975,395178,1.53878,0.499715
5318,j,517529,424173,0.645408,-0.589517
5319,j,439927,405778,0.356854,2.38431
5320,j,762476,558791,-0.814153,3.0044
5321,j,1.57883e+06,597253,-1.62584,-2.39921
5322,j,805088,803130,0.0511901,-1.44581
5323,j,1.23296e+06,633542,1.2831,-0.969288
5324,j,530841,354118,-0.955125,1.50743
5325,j,342491,340977,0.0391409,-0.36748
5326,j,221998,220476,0.0618115,-0.11211
5327,j,694502,652938,-0.33274,-0.679457
5328,j,1.00467e+06,450223,-1.43942,-1.85578
5330,j,1.12292e+06,940461,0.598541,2.3536
5331,j,717930,540993,-0.784195,-3.08634
5333,j,477401,451980,0.319926,-1.82555
5334,j,1.44806e+06,1.18256e+06,-0.655299,-3.10569
5335,j,983934,717323,0.836156,0.3437
5336,j,481404,338326,0.882152,0.7036
5337,j,1.64957e+06,731106,-1.45179,0.871826
5338,j,945692,879044,0.382791,0.214953
5339,j,1.38332e+06,743859,-1.23091,3.10048
5340,j,801939,569701,0.872249,0.54632
5342,j,3.15823e+06,1.20132e+06,1.62099,-1.67058
5343,j,364391,346927,0.211519,0.0435587
5344,j,769579,755498,-0.143441,-2.52346
5345,j,866482,844516,-0.161845,1.74794
5346,j,596280,505884,0.567773,-2.3926
5347,j,588115,570454,-0.215482,-2.54339
5348,j,601040,561940,-0.367501,-2.73235
5349,j,765180,607516,0.701585,-0.686951
5350,j,881746,857151,-0.130926,2.26972
5351,j,344087,239682,0.897726,-1.97154
5352,j,535157,530648,0.122216,-1.40692
5353,j,831144,767726,0.398969,-0.196474
5354,j,1.57173e+06,760174,-1.35051,2.23949
5355,j,708642,414419,-1.12348,-2.00833
5356,j,1.04323e+06,940440,0.443795,2.86949
5357,j,649270,517801,-0.688978,-0.879655
5358,j,446109,263231,-1.10595,3.08825
5359,j,767742,415382,-1.22435,0.261867
5360,j,640813,631194,0.0369549,-1.2177
5361,j,699424,632334,0.417996,2.8295
5362,j,420115,408556,-0.211237,1.28492
5363,j,1.19063e+06,924443,0.740481,1.84125
5364,j,790759,305040,1.59798,2.61337
5365,j,636062,443325,-0.899481,0.0517864
5366,j,415225,344743,0.584596,-1.33486
5367,j,554129,399793,0.815573,2.11754
5368,j,877700,293117,1.75971,-1.00423
5369,j,983985,556195,1.15401,1.19827
5370,j,619748,423755,0.927687,-0.360276
5371,j,291671,273034,0.358077,0.632614
5372,j,792611,708158,0.450933,0.50335
5373,j,630744,528863,-0.600288,-0.187897
5374,j,371721,294133,-0.694557,-2.29767
5375,j,590232,563443,-0.219894,-1.59959
5376,j,1.03218e+06,897951,0.529082,2.62937
5377,j,545644,397164,-0.799396,0.933947
5378,j,1.12392e+06,873211,-0.693143,2.56184
5379,j,598113,418156,-0.88841,-2.87285
5380,j,962272,941897,-0.159373,3.07407
5381,j,673141,507193,-0.782142,0.726919
5382,j,885602,332972,1.62926,-1.51141
5383,j,1.31947e+06,541169,-1.53887,-0.572262
5384,j,422272,241647,1.14961,-3.07797
5385,j,267127,190152,-0.867642,1.59697
5386,j,821208,734638,-0.460287,1.92449
5387,j,1.38404e+06,1.14377e+06,0.629957,0.209324
5388,j,1.26414e+06,390015,-1.84382,-0.954668
5389,j,622368,589510,0.292658,2.50232
5390,j,700669,693424,0.131836,-1.18582
5391,j,252909,249714,0.0462181,-1.5163
5392,j,450391,431955,-0.147726,-1.89647
5393,j,761427,658011,-0.551705,-1.60296
5394,j,980084,646205,0.97675,-0.32295
5395,j,1.18591e+06,732360,-1.06114,0.801173
5396,j,1.11575e+06,739164,0.96616,1.34582
5397,j,840424,508816,1.08447,3.10397
5398,j,1.57033e+06,667781,1.49424,-0.134867
5399,j,296142,275614,-0.242145,1.26776
5400,j,693253,685150,-0.0311636,-1.55647
5401,j,646151,521004,-0.676352,0.988898
5402,j,690135,518202,-0.78831,0.2171
5403,j,933166,864528,0.39186,1.17823
5404,j,391462,377257,-0.250102,0.978364
5405,j,684042,669497,0.186062,-0.597422
5406,j,1.82924e+06,1.53819e+06,-0.604148,-2.8092
5407,j,779525,372717,1.36379,0.597002
5408,j,445914,228420,1.28689,1.67824
5409,j,563759,510230,-0.443884,-1.12407
5410,j,2.24924e+06,565015,-2.05826,1.49267
5411,j,448121,442018,0.130407,2.3195
5412,j,312937,290573,0.382241,-0.0219884
5413,j,1.02606e+06,1.02026e+06,-0.0291566,-2.40343
5414,j,1.83753e+06,677019,1.65544,-2.09536
5415,j,589031,481790,0.632478,1.94968
5416,j,345322,323640,0.326985,-0.36739
5417,j,495655,472118,0.294986,2.82558
5418,j,835830,688891,0.623621,2.50328
5419,j,642991,495608,0.750711,2.27632
5420,j,432865,373734,-0.53955,-1.35109
5421,j,934333,367210,-1.5813,1.43623
5422,j,652063,496099,-0.74653,2.27284
5423,j,916900,432289,1.38163,-0.0670664
5424,j,697772,655344,-0.347673,-1.29547
5425,j,941015,543542,-1.1339,-1.25801
5426,j,525129,501371,0.242904,1.51522
5427,j,2.27698e+06,1.55896e+06,-0.925755,-2.165
5428,j,543474,385507,0.873619,2.28328
5429,j,991459,382457,1.60342,-0.580182
5430,j,577646,443457,0.75725,-2.03432
5431,j,416785,404306,-0.18293,-2.09126
5432,j,1.25165e+06,753231,1.08369,3.04082
5433,j,1.31101e+06,1.0655e+06,-0.631053,2.89198
5434,j,435529,371003,0.579964,-3.01934
5435,j,658678,621938,0.324079,-0.384703
5436,j,830715,222925,-1.98959,-2.17992
5437,j,982985,547722,1.18801,1.03066
5438,j,824032,292991,-1.69149,1.43422
5439,j,296115,293932,-0.070466,-0.261732
5440,j,662222,623222,0.345106,0.997125
5441,j,840614,393968,1.38727,1.45897
5442,j,487070,452455,0.381186,-2.99828
5443,j,1.30505e+06,586058,-1.43782,-0.781582
5444,j,498859,445607,0.474961,-0.872069
5445,j,885446,432560,-1.33899,1.50549
5446,j,689710,548851,0.695685,-0.321197
5447,j,767163,737303,0.208402,1.56273
5448,j,979459,609917,1.0499,-1.57764
5449,j,1.40016e+06,723030,1.27611,1.80548
5450,j,442764,306556,-0.904918,-0.910535
5451,j,814604,627619,-0.723797,0.251941
5452,j,556485,529191,0.313854,-1.8614
5453,j,301369,270719,-0.428883,1.13704
5454,j,1.00569e+06,742744,0.808381,-0.908877
5455,j,556373,542406,-0.172493,0.0512289
5456,j,1.2539e+06,735141,1.12244,-0.569846
5457,j,1.06339e+06,901503,-0.58737,0.319935
5458,j,1.0731e+06,699180,0.989105,-0.670165
5459,j,295206,281832,0.29056,-3.0142
5460,j,693647,641512,-0.38532,-1.9677
5461,j,725674,579902,-0.68498,-0.0836849
5462,j,933544,916405,-0.183334,-0.27769
5463,j,1.18527e+06,1.17208e+06,-0.142499,2.03032
5464,j,858673,634867,-0.814914,-1.84084
5465,j,1.82604e+06,834231,-1.41967,-0.0551834
5466,j,982818,796378,0.668583,0.751787
5467,j,746665,503114,-0.946663,-1.60843
5468,j,558843,501911,-0.468418,0.0532845
5469,j,1.68096e+06,1.27575e+06,0.768186,1.82135
5470,j,944016,526482,-1.18791,-1.21183
5471,j,401038,295200,0.813743,-1.29712
5472,j,426423,422397,0.0793444,2.88216
5473,j,1.09478e+06,696727,-1.0176,-0.255652
5474,j,758847,741275,-0.183576,0.112135
5475,j,568665,363528,-1.01478,0.224117
5476,j,1.05418e+06,789863,0.795645,1.77625
5477,j,1.18214e+06,704537,-1.10026,1.13113
5478,j,571021,473015,0.584003,2.68386
5479,j,591737,281040,1.36986,-2.10656
5480,j,334437,289816,0.536319,-1.83279
5481,j,638001,487817,0.762912,-2.68757
5482,j,880708,491545,-1.1791,1.14185
5483,j,1.43395e+06,965716,-0.945238,-2.71967
5484,j,629368,337339,-1.23431,-0.879948
5485,j,463646,353745,0.765219,-2.17993
5486,j,784120,637284,-0.665195,-2.65712
5487,j,1.40464e+06,937895,-0.95799,0.782433
5488,j,974338,441273,1.42705,-1.65775
5489,j,473788,462638,-0.128052,0.29507
5490,j,686889,528885,-0.754184,-3.04995
5491,j,812484,332996,-1.53805,-0.00384491
5492,j,589759,581799,0.144298,0.122456
5493,j,354277,353929,0.0127887,-0.902356
5494,j,724684,515077,-0.870845,1.64765
5495,j,699775,651862,-0.374653,-0.650443
5496,j,2.41634e+06,1.17569e+06,1.34283,2.74949
5497,j,1.06375e+06,823320,0.7428,2.35506
5498,j,611857,489298,0.67264,1.53684
5499,j,861906,337520,-1.585,1.36519
5500,j,713568,690317,0.244749,0.25587
5501,j,2.58539e+06,1.28952e+06,1.31469,-1.97894
5502,j,1.09137e+06,514396,1.38397,0.92399
5503,j,1.20173e+06,414544,-1.72116,-1.13354
5504,j,750522,733547,-0.166985,2.81737
5505,j,1.09056e+06,657292,1.09197,-1.10631
5506,j,1.24317e+06,946641,0.755964,-1.9016
5507,j,917682,359504,-1.58316,-1.70858
5508,j,1.08181e+06,830380,0.759373,2.19617
5509,j,480580,393479,-0.650744,-1.52057
5510,j,385725,310774,0.669164,0.846768
5511,j,1.32158e+06,1.28574e+06,-0.159731,1.68593
5512,j,892195,725795,0.662052,-1.88508
5513,j,898421,763409,-0.57672,-1.64074
5514,j,405734,378639,0.3671,2.64509
5515,j,1.08364e+06,745275,-0.91012,0.357559
5516,j,1.38937e+06,819644,1.1099,0.804049
5517,j,337202,324242,-0.257826,-0.189227
5518,j,412349,353805,-0.563643,-0.878296
5519,j,763372,752998,0.0335612,2.55686
5520,j,968396,339253,1.70913,1.65616
5521,j,939270,668909,0.855038,-2.68219
5522,j,1.44676e+06,382294,-2.0055,-2.52791
5523,j,853914,619619,-0.838943,-2.61427
5524,j,757447,579420,-0.761905,-1.6577
5525,j,472794,292258,-1.05309,-2.52113
5526,j,2.06443e+06,519596,2.05365,-1.51127
5527,j,1.17748e+06,719182,1.07598,3.04152
5528,j,1.31579e+06,564618,-1.4894,1.4604
5529,j,712667,519876,-0.811653,2.423
5530,j,640897,625655,0.21561,-2.74684
5531,j,865708,777158,0.461209,0.387918
5532,j,264616,259853,0.0778795,1.8809
5533,j,511412,442681,0.540909,-3.11053
5535,j,467011,459324,-0.0375442,1.14793
5536,j,811175,270122,-1.76133,-1.72489
5537,j,1.40443e+06,1.2316e+06,-0.507027,-1.9281
5538,j,1.43825e+06,670405,1.39021,2.54793
5539,j,699979,537176,-0.747884,3.06836
5540,j,414507,374099,-0.455113,1.38917
5541,j,797841,656633,0.639273,-2.6838
5542,j,1.19112e+06,849486,-0.866221,2.91151
5543,j,1.01931e+06,691026,0.937972,2.01418
5544,j,761307,571120,0.792216,1.11412
5545,j,777531,494863,1.02174,-0.0523125
5546,j,489799,468485,-0.291268,-1.23207
5547,j,404982,394672,-0.188771,-0.666059
5548,j,533658,525390,0.131305,1.9888
5549,j,938704,931782,-0.0535779,0.600695
5550,j,958303,927803,0.250744,-3.00075
5551,j,495314,322632,0.989902,-0.554642
5552,j,926928,521747,-1.17469,1.13399
5553,j,621308,453069,0.834759,-1.16813
5554,j,961648,948134,-0.144846,1.138
5555,j,999785,576156,1.1463,2.88074
5556,j,906506,848868,-0.364527,1.82116
5557,j,873421,582132,0.955607,2.82508
5559,j,673573,605289,0.462004,1.60578
5560,j,450559,440644,0.142186,1.50027
5561,j,423885,325022,-0.74626,0.485576
5562,j,611294,600709,0.183414,2.5511
5563,j,1.39038e+06,552791,1.57205,1.5893
5564,j,1.27249e+06,985153,-0.745495,-0.0221537
5565,j,735144,424256,1.14485,1.24606
5566,j,717214,660977,-0.324771,2.82741
5567,j,405052,401340,-0.0129166,0.289664
5568,j,1.22625e+06,1.11533e+06,-0.440544,1.68527
5569,j,906850,866558,0.286034,-2.55586
5570,j,689280,677598,-0.165824,1.50016
5571,j,2.42221e+06,1.29013e+06,-1.23812,-1.23556
5572,j,511235,493474,0.25576,1.48649
5573,j,1.11766e+06,918926,-0.600947,-1.95272
5574,j,1.14875e+06,777812,0.940288,1.9904
5575,j,601154,577298,0.243485,-0.204398
5576,j,1.36125e+06,603111,-1.4531,-0.551179
5577,j,232967,232175,0.0565279,1.84221
5578,j,497590,481415,0.253602,-1.64839
5579,j,1.79211e+06,469448,-2.01417,-2.48975
5580,j,648291,228381,-1.70285,-1.13196
5581,j,481494,470084,-0.132168,1.00571
5582,j,848317,743546,-0.523139,-1.13854
5583,j,758276,682028,-0.467272,-0.467021
5584,j,1.23704e+06,1.20238e+06,0.234826,0.272767
5585,j,726244,436631,1.08354,1.85861
5586,j,754876,307323,-1.54516,2.34469
5587,j,337418,330905,0.167857,-1.63212
5588,j,481098,335694,0.887155,0.125368
5589,j,250432,241502,-0.265365,-1.50399
5590,j,717712,633549,0.499862,0.802172
5591,j,645434,565619,0.523531,-1.95891
5593,j,336154,312509,-0.377539,1.05145
5594,j,419236,388394,0.388063,2.99954
5595,j,343350,336691,-0.175407,2.59055
5596,j,1.08684e+06,784094,0.846924,3.11905
5597,j,834154,654570,0.692913,-1.48583
5598,j,459310,419019,0.380808,2.12195
5599,j,558098,392760,0.886038,-1.66827
5600,j,471638,427420,-0.430535,3.12527
5601,j,645237,375986,1.12557,-0.905503
5602,j,1.03502e+06,530824,1.28448,1.93587
5603,j,1.01943e+06,1.01896e+06,0.0195005,1.7402
5604,j,611796,605585,-0.105409,-2.99231
5605,j,802530,666955,0.614904,-0.170914
5606,j,650002,649340,-0.031294,-1.52309
5607,j,1.23879e+06,1.22178e+06,-0.159301,1.82015
5608,j,455084,453871,0.0386617,-0.0872946
5609,j,873037,713384,-0.654627,-0.798544
5610,j,997247,762808,0.755011,0.577138
5611,j,719505,626323,0.52953,1.5077
5612,j,1.90657e+06,1.52077e+06,-0.697158,2.05616
5613,j,349981,345832,0.0232956,-2.30598
5614,j,1.17706e+06,826360,-0.866976,0.536197
5615,j,504919,374600,-0.807791,-1.91837
5616,j,1.68005e+06,1.1952e+06,-0.871459,-0.814683
5617,j,500729,198590,1.56861,-0.039993
5618,j,559532,543289,0.102015,-0.953085
5620,j,1.2195e+06,477735,-1.58888,0.747847
5621,j,771399,365864,1.37442,0.590487
5622,j,454897,424214,-0.301786,1.89765
5623,j,1.62374e+06,945274,-1.13583,2.74735
5624,j,783304,727956,0.385784,0.0345452
5625,j,1.12978e+06,881636,-0.731963,0.899101
5626,j,641157,638821,0.0235338,2.8298
5627,j,324989,276014,0.555928,0.374142
5628,j,1.21846e+06,497642,-1.54208,0.34419
5629,j,584666,579440,0.087764,-1.02511
5630,j,1.09953e+06,314292,-1.92294,-1.66738
5631,j,1.11954e+06,794284,0.875993,3.04394
5632,j,1.01748e+06,585241,1.15023,2.30005
5633,j,930181,802553,-0.548925,-1.99848
5634,j,645326,563570,-0.529421,2.72609
5635,j,859194,502351,-1.12818,1.86325
5636,j,292902,291769,-0.0296936,3.03582
5637,j,1.31723e+06,226945,2.44405,-0.48606
5638,j,1.27617e+06,690712,-1.21411,-2.89864
5639,j,467099,217286,1.3957,-2.53936
5640,j,1.25674e+06,842514,0.954051,-3.00896
5641,j,1.47244e+06,1.38414e+06,-0.32114,2.16398
5642,j,827156,625629,-0.753262,-3.11378
5643,j,1.10831e+06,911465,-0.641774,-0.254317
5644,j,376095,374087,0.0502291,-2.21437
5645,j,683870,674881,-0.0333779,1.56055
5646,j,502904,430616,-0.520963,-1.55908
5647,j,848206,833086,-0.114672,-2.81015
5648,j,1.09093e+06,476706,1.46015,-1.46779
5649,j,748547,700495,-0.351248,1.28192
5650,j,972334,839733,0.546988,-2.48119
5651,j,1.18436e+06,1.0513e+06,-0.493188,1.35606
5652,j,439038,405690,-0.33598,-2.35797
5653,j,323751,301215,-0.150068,-3.02282
5654,j,776884,622386,-0.662295,-0.997549
5655,j,533953,519727,0.0324948,0.979516
5656,j,831934,501123,-1.09117,0.854186
5657,j,1.66292e+06,1.28038e+06,-0.754446,-0.548512
5658,j,1.04577e+06,784916,0.79321,-1.13379
5659,j,1.07309e+06,495775,-1.40494,-1.95787
5660,j,503014,487948,-0.239895,-2.84952
5661,j,512307,349304,0.930962,-0.611408
5662,j,1.28103e+06,613861,1.3617,0.432863
5663,j,702121,684922,0.171013,-0.062368
5664,j,693933,492648,-0.854857,-0.97291
5665,j,822960,797041,-0.251619,-0.291814
5666,j,2.51162e+06,558649,2.18142,-2.83185
5667,j,1.2446e+06,786983,1.0189,-2.46201
5669,j,354627,353594,0.0295743,3.00707
5670,j,725543,475760,-0.967957,1.01692
5671,j,710152,281907,-1.5737,1.95558
5672,j,648088,567066,-0.506617,2.74935
5673,j,827212,583638,0.882668,2.55473
5674,j,569816,475640,0.603261,1.06606
5675,j,1.50265e+06,892627,-1.1106,-0.0958301
5676,j,701489,646099,0.399165,-2.86736
5677,j,529445,318142,-1.09427,0.86133
5678,j,1.22106e+06,1.21905e+06,0.0359745,-1.06814
5679,j,536697,472639,-0.482978,-0.35131
5680,j,906875,789586,0.538045,2.04215
5681,j,621481,612276,-0.122167,2.90604
5682,j,655377,418643,1.01625,0.894254
5683,j,932084,626479,-0.951052,-0.112699
5684,j,1.61887e+06,614091,1.62388,-0.135573
5685,j,692401,608120,-0.513128,1.99483
5686,j,1.43791e+06,402195,1.94689,1.83836
5687,j,497749,442069,0.454764,-0.924803
5688,j,818909,740531,0.423055,-0.87716
5689,j,300853,283361,0.323875,2.72461
5690,j,1.43819e+06,942303,0.975812,1.65198
5691,j,1.0296e+06,970304,-0.33482,-0.594717
5692,j,1.0375e+06,949337,-0.334355,2.72873
5693,j,491373,405246,0.610809,-0.288108
5694,j,405295,225242,1.18914,0.969071
5695,j,309580,272816,-0.511777,0.959674
5696,j,1.04936e+06,857682,-0.643133,3.08414
5697,j,1.64243e+06,668650,1.54623,-1.17107
5698,j,372463,360531,0.190889,-0.0114971
5700,j,1.03575e+06,862202,-0.593776,2.34558
5701,j,379889,307528,-0.67204,-1.71748
5702,j,670966,543191,0.668684,-3.1099
5703,j,508652,485182,-0.27945,2.50049
5704,j,736547,644885,0.468846,-0.379238
5705,j,960467,959525,-0.0352211,1.25434
5706,j,671614,457221,-0.930981,-0.941918
5707,j,865855,386971,-1.44413,-1.62571
5708,j,526624,402794,-0.763155,0.573396
5709,j,570224,497367,-0.51163,0.836687
5710,j,763301,733865,-0.216802,1.68545
5711,j,590107,521871,0.495209,2.70621
5712,j,986083,602624,1.07315,-2.05785
5713,j,1.98741e+06,646752,1.78809,-0.512888
5714,j,702861,594375,-0.59026,-0.0500647
5715,j,555881,550057,0.110544,-1.32394
5716,j,745422,493402,-0.967881,2.43453
5717,j,1.09566e+06,341708,-1.83269,-2.22596
5718,j,683072,408788,1.08357,-0.703441
5719,j,366748,364738,-0.0650374,1.50976
5720,j,1.00657e+06,681523,-0.939006,0.658837
5721,j,385411,379857,-0.110108,-1.10193
5723,j,998518,624359,-1.04334,0.0986751
5724,j,634450,633001,0.0328429,-2.76563
5725,j,463975,392925,0.587624,0.780978
5726,j,653262,590268,-0.436637,-2.30495
5727,j,890232,645882,0.841724,2.22116
5728,j,748416,607846,0.663326,3.0674
5729,j,557091,470784,-0.593704,2.68364
5730,j,895612,626511,0.895294,-0.213762
5731,j,969056,698672,-0.85089,-1.6575
5732,j,481726,471494,0.180169,1.85163
5733,j,514056,422983,0.624451,-1.07323
5734,j,1.40738e+06,636322,1.43055,1.98897
5735,j,611624,313835,-1.28591,-1.67925
5736,j,745549,492292,0.971731,-1.76647
5737,j,890689,690615,0.739749,0.0913527
5738,j,310380,295870,-0.2858,3.09486
5739,j,1.38207e+06,916563,-0.96389,-1.2378
5740,j,1.33176e+06,614761,-1.40748,-0.0878552
5741,j,652963,455380,-0.873254,0.577093
5742,j,1.21746e+06,768593,1.03328,-0.783095
5743,j,827356,814802,-0.124938,-0.791841
5744,j,1.43563e+06,384846,-1.98846,0.616913
5745,j,1.14427e+06,195142,-2.45426,0.188464
5746,j,434066,404632,-0.347695,0.142934
5747,j,326467,305533,0.355628,1.96901
5748,j,653789,641627,-0.126107,1.5686
5749,j,642176,259642,1.55357,-1.68955
5750,j,1.72289e+06,1.31496e+06,-0.768292,-2.2365
5751,j,576628,551606,0.234292,-0.305589
5752,j,669360,586160,0.52227,-1.65239
5753,j,1.24558e+06,504342,1.55311,-1.63533
5754,j,1.02832e+06,751662,-0.83049,-1.55213
5755,j,529577,476534,-0.456787,1.07048
5756,j,879712,754339,-0.560574,-2.89815
5757,j,871958,606209,-0.900195,1.55391
5758,j,512634,487754,-0.301625,-0.436728
5759,j,791207,415656,-1.25863,-1.47734
5760,j,556856,535947,-0.270135,1.02579
5761,j,1.31894e+06,649742,1.32823,0.164977
5762,j,614576,455066,0.807973,-1.32209
5763,j,757003,453303,1.10038,2.20819
5764,j,468858,401634,-0.566988,-2.71183
5765,j,1.41276e+06,888518,-1.03774,0.683274
5767,j,1.55796e+06,1.35881e+06,-0.530304,-1.09196
5768,j,659499,520119,-0.71616,-1.92149
5769,j,686452,659388,0.278237,0.969686
5770,j,536648,535098,0.0395163,-2.43707
5771,j,495417,311173,1.04043,-1.20192
5772,j,845527,534842,1.03045,0.649787
5773,j,1.03879e+06,1.00257e+06,0.243568,-0.891187
5774,j,374430,280495,-0.792208,3.037
5775,j,1.03047e+06,834393,0.667938,0.260283
5776,j,1.06411e+06,963893,0.437004,-3.08097
5777,j,560819,548668,0.192806,0.75149
5778,j,1.16653e+06,949891,-0.65977,2.14606
5779,j,588787,576997,0.166577,2.4563
5780,j,441352,312276,0.865784,-0.950449
5781,j,1.0784e+06,514178,-1.36942,-2.15712
5782,j,1.42935e+06,1.12778e+06,0.710582,1.15696
5783,j,976524,894342,-0.388689,1.35422
5784,j,812675,748570,-0.404918,-1.52305
